codigo,pobtotal,agua,cloaca,hac,p12a17,asistsec,ocupados,radio_amp,a.pob,a.scs,a.ocup,a.tam5,tagua,tcloaca,thaci,teduc,tcober,the
62740101,1355,1225,1152,79,124,83,607,1,3015,890,1467,603,0.9041,0.8502,0.0583,0.6694,0.2952,0.4110
62740102,1055,1027,1031,15,73,46,587,1,1632,507,1184,566,0.9735,0.9773,0.0142,0.6301,0.3107,0.4780
62740103,677,669,665,8,51,33,336,1,1068,278,502,234,0.9882,0.9823,0.0118,0.6471,0.2603,0.4661
62740104,647,645,625,8,72,64,329,1,136,74,105,46,0.9969,0.9660,0.0124,0.8889,0.5441,0.4381
62740105,1609,1596,1381,84,157,122,767,1,2090,779,1030,411,0.9919,0.8583,0.0522,0.7771,0.3727,0.3990
62740106,954,952,912,67,98,68,491,1,974,266,523,226,0.9979,0.9560,0.0702,0.6939,0.2731,0.4321
62740107,823,817,790,18,78,63,443,1,1152,431,712,407,0.9927,0.9599,0.0219,0.8077,0.3741,0.5716
62740108,512,512,480,27,34,19,267,1,134,40,125,56,1.0000,0.9375,0.0527,0.5588,0.2985,0.4480
62740109,910,904,794,34,90,62,439,1,1195,461,481,149,0.9934,0.8725,0.0374,0.6889,0.3858,0.3098
62740110,863,852,707,19,76,59,452,1,875,296,370,90,0.9873,0.8192,0.0220,0.7763,0.3383,0.2432
62740111,937,933,158,16,87,56,452,1,1428,583,768,305,0.9957,0.1686,0.0171,0.6437,0.4083,0.3971
62740112,894,890,53,70,86,58,420,1,1468,594,677,287,0.9955,0.0593,0.0783,0.6744,0.4046,0.4239
62740113,1665,1656,92,105,178,117,785,1,1823,683,745,307,0.9946,0.0553,0.0631,0.6573,0.3747,0.4121
62740114,877,865,563,55,82,56,409,1,1159,595,534,251,0.9863,0.6420,0.0627,0.6829,0.5134,0.4700
62740115,1832,1821,1676,102,197,134,865,1,1522,785,718,278,0.9940,0.9148,0.0557,0.6802,0.5158,0.3872
62740201,1275,1250,1253,63,107,75,641,1,1591,493,944,466,0.9804,0.9827,0.0494,0.7009,0.3099,0.4936
62740202,1317,1298,1037,52,135,85,650,1,2548,900,1217,489,0.9856,0.7874,0.0395,0.6296,0.3532,0.4018
62740203,1453,1446,1147,68,169,118,734,1,1336,600,693,333,0.9952,0.7894,0.0468,0.6982,0.4491,0.4805
62740204,871,855,832,9,72,53,471,1,992,243,517,218,0.9816,0.9552,0.0103,0.7361,0.2450,0.4217
62740205,1140,1071,1018,26,125,92,549,1,1361,526,679,217,0.9395,0.8930,0.0228,0.7360,0.3865,0.3196
62740206,1623,1613,1523,47,169,136,774,1,1363,429,634,258,0.9938,0.9384,0.0290,0.8047,0.3147,0.4069
62740207,1095,1051,957,52,106,63,572,1,636,200,330,119,0.9598,0.8740,0.0475,0.5943,0.3145,0.3606
62740208,1074,1070,274,89,129,72,506,1,968,410,458,186,0.9963,0.2551,0.0829,0.5581,0.4236,0.4061
62740209,957,952,839,59,101,69,469,1,1069,268,527,215,0.9948,0.8767,0.0617,0.6832,0.2507,0.4080
62740210,1222,1222,634,145,158,88,492,1,1676,916,807,386,1.0000,0.5188,0.1187,0.5570,0.5465,0.4783
62740211,1643,1640,1541,127,175,121,716,1,1443,622,684,324,0.9982,0.9379,0.0773,0.6914,0.4310,0.4737
62740212,1155,1144,1065,92,113,82,561,1,1095,572,547,307,0.9905,0.9221,0.0797,0.7257,0.5224,0.5612
62740213,1171,1142,1084,93,148,93,607,1,1070,281,476,225,0.9752,0.9257,0.0794,0.6284,0.2626,0.4727
62740214,1271,1262,1196,53,113,82,618,1,1048,293,503,179,0.9929,0.9410,0.0417,0.7257,0.2796,0.3559
62740215,1276,1276,1161,58,109,83,650,1,1418,351,840,394,1.0000,0.9099,0.0455,0.7615,0.2475,0.4690
62740301,1320,1315,102,83,158,109,641,1,1200,587,426,174,0.9962,0.0773,0.0629,0.6899,0.4892,0.4085
62740302,981,974,37,67,134,89,457,1,818,322,478,182,0.9929,0.0377,0.0683,0.6642,0.3936,0.3808
62740303,831,805,26,71,95,64,378,1,1103,708,450,202,0.9687,0.0313,0.0854,0.6737,0.6419,0.4489
62740304,1768,1718,67,200,214,144,823,1,960,281,452,141,0.9717,0.0379,0.1131,0.6729,0.2927,0.3119
62740305,1505,1476,26,143,193,128,709,1,2031,910,848,399,0.9807,0.0173,0.0950,0.6632,0.4481,0.4705
62740306,763,739,14,30,79,61,349,1,1007,383,435,172,0.9685,0.0183,0.0393,0.7722,0.3803,0.3954
62740307,1615,1593,15,107,178,132,727,1,913,238,441,184,0.9864,0.0093,0.0663,0.7416,0.2607,0.4172
62740308,1101,662,25,77,125,84,520,1,980,496,416,219,0.6013,0.0227,0.0699,0.6720,0.5061,0.5264
62740309,1016,842,23,94,125,79,471,1,1348,995,807,335,0.8287,0.0226,0.0925,0.6320,0.7381,0.4151
62740310,1335,1265,20,84,143,103,645,1,1460,723,696,273,0.9476,0.0150,0.0629,0.7203,0.4952,0.3922
62740311,1219,1209,16,31,140,82,612,1,960,295,368,187,0.9918,0.0131,0.0254,0.5857,0.3073,0.5082
62740312,1647,1641,157,203,239,120,744,1,1150,582,428,308,0.9964,0.0953,0.1233,0.5021,0.5061,0.7196
62740313,1472,1466,243,143,191,123,682,1,1908,1273,799,439,0.9959,0.1651,0.0971,0.6440,0.6672,0.5494
62740314,1383,1365,78,180,194,116,618,1,1117,539,401,172,0.9870,0.0564,0.1302,0.5979,0.4825,0.4289
62740315,982,959,30,69,106,65,416,1,1001,336,386,127,0.9766,0.0305,0.0703,0.6132,0.3357,0.3290
62740316,1085,1044,20,55,104,72,511,1,983,377,417,195,0.9622,0.0184,0.0507,0.6923,0.3835,0.4676
62740401,1320,371,47,154,138,96,601,1,2017,1047,1107,485,0.2811,0.0356,0.1167,0.6957,0.5191,0.4381
